Filepath,Bird-Species
data\spectrogram_dataset\test\Black-Kite\Black-Kite-17.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-18.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-19.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-2.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-20.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-21.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-22.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-23.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-24.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-25.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-26.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-27.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-28.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-29.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-3.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-30.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-31.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-32.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-33.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-34.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-35.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-36.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-4.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-5.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-6.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-7.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-8.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-9.png,Black-Kite
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-0.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-1.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-10.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-2.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-3.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-4.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-5.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-6.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-7.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-8.png,Black-necked-crane
data\spectrogram_dataset\test\Black-necked-crane\Black-necked-crane-9.png,Black-necked-crane
data\spectrogram_dataset\test\Bristled-Grassbird\Bristled-Grassbird-0.png,Bristled-Grassbird
data\spectrogram_dataset\test\Bristled-Grassbird\Bristled-Grassbird-1.png,Bristled-Grassbird
data\spectrogram_dataset\test\Bristled-Grassbird\Bristled-Grassbird-2.png,Bristled-Grassbird
data\spectrogram_dataset\test\Bristled-Grassbird\Bristled-Grassbird-3.png,Bristled-Grassbird
data\spectrogram_dataset\test\Bristled-Grassbird\Bristled-Grassbird-4.png,Bristled-Grassbird
data\spectrogram_dataset\test\Bristled-Grassbird\Bristled-Grassbird-5.png,Bristled-Grassbird
data\spectrogram_dataset\test\Bristled-Grassbird\Bristled-Grassbird-6.png,Bristled-Grassbird
data\spectrogram_dataset\test\Bristled-Grassbird\Bristled-Grassbird-7.png,Bristled-Grassbird
data\spectrogram_dataset\test\Cheer-Pheasant\Cheer-Pheasant-0.png,Cheer-Pheasant
data\spectrogram_dataset\test\Cheer-Pheasant\Cheer-Pheasant-1.png,Cheer-Pheasant
data\spectrogram_dataset\test\Cheer-Pheasant\Cheer-Pheasant-2.png,Cheer-Pheasant
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-0.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-1.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-10.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-11.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-12.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-13.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-14.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-15.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-16.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-17.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-18.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-19.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-2.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-20.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-21.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-22.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-23.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-24.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-25.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-26.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-27.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-28.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-29.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-3.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-30.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-31.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-32.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-33.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-34.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-35.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-36.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-37.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-38.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-39.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-4.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-40.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-41.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-42.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-43.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-44.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-45.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-46.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-47.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-48.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-49.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-5.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-50.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-51.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-52.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-6.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-7.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-8.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Cuckoo\Common-Cuckoo-9.png,Common-Cuckoo
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-0.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-1.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-10.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-11.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-12.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-13.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-14.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-15.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-16.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-17.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-18.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-19.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-2.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-20.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-21.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-22.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-23.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-24.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-25.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-3.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-4.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-5.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-6.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-7.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-8.png,Common-Pochard
data\spectrogram_dataset\test\Common-Pochard\Common-Pochard-9.png,Common-Pochard
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-0.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-1.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-10.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-11.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-12.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-13.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-14.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-15.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-16.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-17.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-18.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-19.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-2.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-20.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-21.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-22.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-23.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-24.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-25.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-26.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-27.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-28.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-29.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-3.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-30.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-31.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-32.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-33.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-34.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-35.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-36.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-37.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-38.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-39.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-4.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-40.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-41.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-42.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-43.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-44.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-45.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-46.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-47.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-5.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-6.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-7.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-8.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Common-Wood-Pigeon\Common-Wood-Pigeon-9.png,Common-Wood-Pigeon
data\spectrogram_dataset\test\Eastern-Imperial-Eagle\Eastern Imperial Eagle-1.png,Eastern-Imperial-Eagle
data\spectrogram_dataset\test\Eastern-Imperial-Eagle\Eastern Imperial Eagle-2.png,Eastern-Imperial-Eagle
data\spectrogram_dataset\test\Egyptian-Vulture\Egyptian-Vulture-0.png,Egyptian-Vulture
data\spectrogram_dataset\test\Egyptian-Vulture\Egyptian-Vulture-1.png,Egyptian-Vulture
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-0.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-1.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-10.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-11.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-12.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-13.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-14.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-15.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-16.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-17.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-18.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-19.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-2.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-3.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-4.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-5.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-6.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-7.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-8.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Great-Slaty-Woodpecker\Great-Slaty-Woodpecker-9.png,Great-Slaty-Woodpecker
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-0.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-1.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-10.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-11.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-12.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-13.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-14.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-15.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-16.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-17.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-18.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-19.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-2.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-20.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-21.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-22.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-23.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-24.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-25.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-26.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-3.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-4.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-5.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-6.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-7.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-8.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Greater-Spotted-Eagle\Greater-Spotted-Eagle-9.png,Greater-Spotted-Eagle
data\spectrogram_dataset\test\Grey-crowned-Prinia\Grey-crowned-Prinia-0.png,Grey-crowned-Prinia
data\spectrogram_dataset\test\Grey-crowned-Prinia\Grey-crowned-Prinia-1.png,Grey-crowned-Prinia
data\spectrogram_dataset\test\Grey-sided-Thrush\Grey-sided-Thrush-0.png,Grey-sided-Thrush
