Filepath,Bird-Species
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-185.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-186.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-187.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-188.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-189.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-19.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-190.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-191.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-192.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-193.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-194.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-195.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-196.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-197.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-198.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-199.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-2.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-20.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-200.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-201.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-202.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-203.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-204.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-205.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-206.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-207.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-208.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-209.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-21.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-210.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-211.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-212.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-213.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-214.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-215.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-216.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-217.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-218.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-219.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-22.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-220.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-221.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-222.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-223.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-224.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-225.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-226.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-227.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-228.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-229.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-23.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-230.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-231.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-232.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-233.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-234.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-235.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-236.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-237.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-238.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-239.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-24.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-240.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-241.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-242.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-243.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-244.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-245.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-246.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-247.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-248.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-249.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-25.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-250.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-251.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-252.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-253.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-254.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-255.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-256.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-257.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-258.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-259.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-26.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-260.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-261.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-262.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-263.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-264.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-265.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-266.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-267.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-268.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-269.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-27.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-270.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-271.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-272.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-273.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-274.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-275.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-276.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-277.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-278.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-279.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-28.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-280.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-281.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-282.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-283.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-284.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-285.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-286.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-287.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-288.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-29.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-3.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-30.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-31.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-32.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-33.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-34.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-35.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-36.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-37.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-38.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-39.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-4.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-40.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-41.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-42.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-43.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-44.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-45.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-46.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-47.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-48.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-49.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-5.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-50.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-51.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-52.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-53.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-54.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-55.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-56.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-57.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-58.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-59.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-6.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-60.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-61.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-62.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-63.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-64.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-65.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-66.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-67.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-68.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-69.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-7.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-70.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-71.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-72.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-73.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-74.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-75.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-76.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-77.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-78.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-79.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-8.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-80.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-81.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-82.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-83.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-84.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-85.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-86.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-87.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-88.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-89.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-9.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-90.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-91.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-92.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-93.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-94.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-95.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-96.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-97.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-98.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-99.png,Asian-Koel
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-0.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-1.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-10.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-11.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-12.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-13.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-14.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-15.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-16.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-17.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-18.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-19.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-2.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-20.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-21.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-22.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-23.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-24.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-25.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-26.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-27.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-28.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-29.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-3.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-30.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-31.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-32.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-33.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-34.png,Black-breasted-Parrotbill
data\spectrogram_dataset\train\Black-breasted-Parrotbill\Black-breasted-Parrotbill-35.png,Black-breasted-Parrotbill
